,Stage1.Output.Measurement9.U.Actual
330,17.95
331,17.95
332,17.95
333,18.09
334,18.09
335,18.2
336,18.2
337,18.2
338,18.21
339,18.21
340,18.29
341,18.29
342,18.29
343,18.43
344,18.43
345,18.43
346,18.43
347,18.56
348,18.56
349,18.56
350,18.54
351,18.54
352,18.66
353,18.66
354,18.66
355,18.78
356,18.78
357,18.91
358,18.91
359,19.15
360,19.15
361,19.15
362,19.25
363,19.25
364,19.31
365,19.31
366,19.31
367,19.26
368,19.26
369,19.2
370,19.2
371,19.22
372,19.22
373,19.22
374,19.2
375,19.2
376,19.28
377,19.28
378,19.28
379,19.32
380,19.32
381,19.16
382,19.16
383,19.27
384,19.27
385,19.27
386,19.23
387,19.23
388,19.19
389,19.19
390,19.19
391,19.19
392,19.19
393,19.15
394,19.15
395,19.12
396,19.12
397,19.12
398,19.23
399,19.23
400,19.17
401,19.17
402,19.2
403,19.2
404,19.2
405,19.27
406,19.27
407,19.24
408,19.24
409,19.29
410,19.29
411,19.29
412,19.25
413,19.25
414,19.26
415,19.26
416,19.24
417,19.24
418,19.24
419,19.18
420,19.18
421,19.22
422,19.22
423,19.24
424,19.24
425,19.13
426,19.13
427,19.13
428,19.25
429,19.25
430,19.19
431,19.19
432,19.18
433,19.18
434,19.28
435,19.28
436,19.28
437,19.17
438,19.17
439,19.24
440,19.24
441,19.23
442,19.23
443,19.23
444,19.24
445,19.24
446,19.21
447,19.21
448,19.14
449,19.14
450,19.14
451,19.19
452,19.19
453,19.28
454,19.28
455,19.28
456,19.27
457,19.27
458,19.19
459,19.19
460,19.16
461,19.16
462,19.16
463,19.16
464,19.16
465,19.14
466,19.14
467,19.17
468,19.17
469,19.17
470,19.14
471,19.14
472,19.24
473,19.24
474,19.18
475,19.18
476,19.18
477,19.08
478,19.08
479,19.2
480,19.2
481,19.13
482,19.13
483,19.13
484,19.1
485,19.1
486,19.16
487,19.16
488,19.16
489,19.05
490,19.05
491,19.09
492,19.09
493,19.09
494,19.1
495,19.1
496,19.15
497,19.15
498,19.18
499,19.18
500,19.18
501,19.17
502,19.17
503,19.08
504,19.08
505,19.12
506,19.12
507,19.12
508,19.08
509,19.08
510,19.12
511,19.12
512,19.12
513,19.16
514,19.16
515,19.13
516,19.13
517,19.23
518,19.23
519,19.18
520,19.18
521,19.18
522,19.18
523,19.18
524,19.14
525,19.14
526,19.14
527,19.18
528,19.18
529,19.19
530,19.19
531,19.11
532,19.11
533,19.18
534,19.18
535,19.18
536,19.15
537,19.15
538,19.24
539,19.24
540,19.21
541,19.21
542,19.21
543,19.21
544,19.2
545,19.2
546,19.2
547,19.28
548,19.28
549,19.2
550,19.2
551,19.26
552,19.26
553,19.26
554,19.2
555,19.2
556,19.33
557,19.33
558,19.33
559,19.18
560,19.18
561,19.19
562,19.19
563,19.18
564,19.18
565,19.26
566,19.26
567,19.26
568,19.22
569,19.22
570,19.23
571,19.23
572,19.2
573,19.2
574,19.2
575,19.27
576,19.27
577,19.24
578,19.24
579,19.28
580,19.28
581,19.28
582,19.22
583,19.22
584,19.22
585,19.16
586,19.16
587,19.21
588,19.21
589,19.21
590,19.21
591,19.24
592,19.24
593,19.25
594,19.25
595,19.25
596,19.23
597,19.23
598,19.26587015
599,19.3
600,19.3
601,19.3
602,19.28
603,19.28
604,19.29
605,19.29
606,19.28
607,19.28
608,19.28
609,19.29
610,19.29
611,19.29
612,19.27
613,19.27
614,19.21
615,19.21
616,19.28
617,19.28
618,19.28
619,19.23
620,19.23
621,19.37
622,19.37
623,19.37
624,19.23
625,19.23
626,19.29
627,19.29
628,19.28
629,19.28
630,19.28
631,19.27
632,19.27
633,19.38
634,19.38
635,19.26
636,19.26
637,19.26
638,19.06
639,19.06
640,19.06
641,19.03
642,19.03
643,18.78
644,18.78
645,18.62
646,18.62
647,18.68
648,18.68
649,18.68
650,18.61
651,18.61
652,18.6
653,18.6
654,18.65
655,18.65
656,18.65
657,18.66
658,18.66
659,18.57
660,18.57
661,18.66
662,18.66
663,18.63
664,18.63
665,18.63
666,18.7
667,18.7
668,18.65
669,18.65
670,18.61
671,18.61
672,18.61
673,18.73
674,18.65
675,18.65
676,18.65
677,18.61
678,18.61
679,18.61
680,18.61
681,18.53
682,18.53
683,18.72
684,18.72
685,18.67
686,18.67
687,18.67
688,18.62
689,18.62
690,18.73
691,18.73
692,18.68
693,18.68
694,18.68
695,18.73
696,18.73
697,18.59
698,18.59
699,18.74
700,18.74
701,18.74
702,18.72
703,18.72
704,18.6
705,18.6
706,18.68
707,18.68
708,18.73
709,18.73
710,19.02
711,19.02
712,18.71
713,18.71
714,18.71
715,18.71
716,18.71
717,18.76
718,18.76
719,18.73
720,18.73
721,19.01
722,19.01
723,18.75
724,18.75
725,18.75
726,18.65
727,18.65
728,18.76
729,18.76
730,18.76
731,18.72
732,18.94
733,18.94
734,18.65
735,18.65
736,18.65
737,18.65
738,18.78
739,18.78
740,18.78
741,18.66
742,18.66
743,18.77
744,18.77
745,18.72
746,18.72
747,18.68
748,18.68
749,18.68
750,18.72
751,18.72
752,18.67
753,18.67
754,18.74
755,18.74
756,18.74
757,18.68
758,18.68
759,18.66
760,18.66
761,19.01
762,19.01
763,19.01
764,18.74
765,18.74
766,18.72
767,18.72
768,18.73
769,18.73
770,18.69
771,18.69
772,18.79
773,18.79
774,18.79
775,18.74
776,18.74
777,18.7
778,18.7
779,18.77
780,18.77
781,18.66
782,18.66
783,18.66
784,18.97
785,18.97
786,18.73
787,18.73
788,18.73
789,18.73
790,18.73
791,18.7
792,18.7
793,18.98
794,18.98
795,18.73
796,18.73
797,18.68
798,18.68
799,18.68
800,18.67
801,18.67
802,18.95
803,18.95
804,18.67
805,18.67
806,18.68
807,18.68
808,18.65
809,18.65
810,18.72
811,18.72
812,18.66
813,18.66
814,18.71
815,18.71
816,18.71
817,18.97
818,18.74
819,18.74
820,18.74
821,18.72
822,18.72
823,18.78
824,18.78
825,18.74
826,18.74
827,18.78
828,18.78
829,18.82
830,18.82
831,18.71
832,18.71
833,18.71
834,18.82
835,18.82
836,18.78
837,18.78
838,18.75
839,18.75
840,18.82
841,18.82
842,18.68
843,18.68
844,18.78
845,18.78
846,19.13
847,19.13
848,18.72
849,18.72
850,18.72
851,18.75
852,18.75
853,18.69
854,18.69
855,18.68
856,18.68
857,18.76
858,18.76
859,19.01
860,19.01
861,19.01
862,19.01
863,18.74
864,18.74
865,18.74
866,18.74
867,18.74
868,18.76
869,18.76
870,18.74
871,18.74
872,18.7
873,18.7
874,18.76
875,18.76
876,18.78
877,18.78
878,18.76
879,18.76
880,18.76
881,18.73
882,18.73
883,18.74
884,18.74
885,18.79
886,18.79
887,18.77
888,18.77
889,19.04
890,19.04
891,19.04
892,19.03
893,19.03
894,19.07
895,19.07
896,18.78
897,18.78
898,18.78
899,18.75
900,18.75
901,18.77
902,18.77
903,18.75
904,18.75
905,18.74
906,18.74
907,18.74
908,18.76
909,18.76
910,18.74
911,18.74
